mao'ban'fa	冇办法
xian'bao'ming	先报名
xian'bao'shang	先报上
xian'bei'zi	先被子
xian'bie'chi	先别吃
xian'bie'chu	先别出
xian'bie'da	先别打
xian'bie'gai	先别改
xian'bie'ji	先别急
xian'bie'jia	先别加
xian'bie'jin	先别进
xian'bie'kan	先别看
xian'bie'lai	先别来
xian'bie'mai	先别买
xian'bie'qu	先别去
xian'bie'sha	先别杀
xian'bie'shang	先别上
xian'bie'shua	先别耍
xian'bie'tuan	先别团
xian'bie'tui	先别退
xian'bie'xia	先别下
xian'bie'xie	先别谢
xian'bu'shui	先补水
xian'bu'cheng	先不成
xian'bu'chi	先不吃
xian'bu'da	先不打
xian'bu'dai	先不带
xian'bu'dao	先不到
xian'bu'ding	先不定
xian'bu'gai	先不改
xian'bu'gao'su'ni	先不告诉你
xian'bu'gei	先不给
xian'bu'gen	先不跟
xian'bu'guan	先不管
xian'bu'huan	先不换
xian'bu'huang	先不慌
xian'bu'hui	先不回
xian'bu'ji	先不急
xian'bu'jia	先不加
xian'bu'jiao	先不交
xian'bu'jie	先不接
xian'bu'jing	先不惊
xian'bu'kao'lv	先不考虑
xian'bu'li	先不理
xian'bu'liao'la	先不聊啦
xian'bu'liao'le	先不聊了
xian'bu'liao'le'a	先不聊了啊
xian'bu'liao'le'ha	先不聊了哈
xian'bu'mai	先不买
xian'bu'mai'le	先不买了
xian'bu'mai	先不卖
xian'bu'mang	先不忙
xian'bu'neng	先不能
xian'bu'qi	先不起
xian'bu'qu	先不去
xian'bu'sha	先不杀
xian'bu'shang	先不上
xian'bu'shou	先不收
xian'bu'shui	先不睡
xian'bu'shuo	先不说
xian'bu'shuo'hua	先不说话
xian'bu'shuo'le	先不说了
xian'bu'shuo'le'a	先不说了啊
xian'bu'suan	先不算
xian'bu'tan	先不谈
xian'bu'ti	先不提
xian'bu'tian	先不填
xian'bu'tui	先不退
xian'bu'wan	先不玩
xian'bu'wan'le	先不玩了
xian'bu'xi	先不洗
xian'bu'xia	先不下
xian'bu'xian	先不先
xian'bu'xiang	先不想
xian'bu'yao	先不要
xian'bu'yong	先不用
xian'bu'zhao	先不找
xian'bu'xing	先步行
xian'ce'shi	先测试
xian'chai'ta	先拆塔
xian'chang'chang	先尝尝
xian'chang'shi	先尝试
xian'chang'ge	先唱歌
xian'che'le	先撤了
xian'cheng'jia	先成家
xian'cheng'li	先成立
xian'chi'ba	先吃吧
xian'chi'dian	先吃点
xian'chi'fan'le	先吃烦了
xian'chi'fan'ba	先吃饭吧
xian'chi'fan'le	先吃饭了
xian'chi'fan'qu'le	先吃饭去了
xian'chi'luo'bo'dan'cao'xin	先吃萝卜淡操心
xian'chi'yao	先吃药
xian'chu'de	先出的
xian'chu'qu	先出去
xian'chu'qu'le	先出去了
xian'chu'qu'xia	先出去下
xian'chu'shou	先出手
xian'chu'zhe	先出着
xian'chu'li	先处理
xian'chu'zhe	先处着
xian'chuan'zhe	先穿着
xian'da'dao	先达到
xian'da'ba	先打吧
xian'da'dao	先打到
xian'da'de	先打的
xian'da'dian'hua	先打电话
xian'da'kuan	先打款
xian'da'le	先打了
xian'da'long	先打龙
xian'da'na'ge	先打哪个
xian'da'qian	先打钱
xian'da'rou	先打肉
xian'da'shei	先打谁
xian'da'si	先打死
xian'da'ta	先打他
xian'da'wan	先打完
xian'da'wo	先打我
xian'da'yin	先打印
xian'da'zhe	先打着
xian'da'zi	先打字
xian'da'rou	先大肉
xian'dai'zhe'ba	先呆着吧
xian'dai'zhe	先带着
xian'dai'zhe'ba	先带着吧
xian'dao'de	先到的
xian'dao'zhe	先到者
xian'deng'ji	先登记
xian'deng'deng	先等等
xian'deng'hui	先等会
xian'deng'xia	先等下
xian'dian'shang	先垫上
xian'ding'le	先顶了
xian'fa'ba	先发吧
xian'fa'dao	先发到
xian'fa'de	先发的
xian'fa'gei'ni	先发给你
xian'fa'huo	先发货
xian'fa'yu	先发育
xian'fa'zhan	先发展
xian'fang'dao	先放到
xian'fang'ni'na	先放你那
xian'fang'zhe	先放着
xian'fu'zhi	先复制
xian'fu'ding'jin	先付定金
xian'fu'ding'jin	先付订金
xian'fu'lai	先付来
xian'fu'le	先付了
xian'fu'qian	先付钱
xian'fu'yi'ban	先付一半
xian'fu'le	先富了
xian'gai'ming	先改名
xian'gan'gan	先干干
xian'gan'ma	先干嘛
xian'gan'si	先干死
xian'gao'ding	先搞定
xian'gao'si	先搞死
xian'gao'su'ni	先告诉你
xian'gao'zhuang	先告状
xian'gei'dian	先给点
xian'gei'hao	先给号
xian'gei'le	先给了
xian'gei'ni'men	先给你们
xian'gei'ta	先给他
xian'gei'ta'men	先给他们
xian'gei'wo'men	先给我们
xian'gen'ju	先根据
xian'gen'ni	先跟你
xian'gen'ta	先跟她
xian'gen'wo	先跟我
xian'gou'mai	先购买
xian'guan'diao	先关掉
xian'guan'le	先关了
xian'hao'le	先好了
xian'he'dian	先喝点
xian'he'dian'shui	先喝点水
xian'he'shui	先喝水
xian'he'ta	先和她
xian'hua'jian	先化简
xian'huan'ni	先还你
xian'hui'fu	先恢复
xian'hui'da	先回答
xian'hui'fu	先回复
xian'hui'jia	先回家
xian'hui'lai	先回来
xian'hui'le	先回了
xian'hui'qu	先回去
xian'hun'hou'ai	先婚后爱
xian'ji'huo	先激活
xian'ji'he	先集合
xian'ji'hua	先计划
xian'ji'zhang	先记账
xian'ji'zhe	先记着
xian'jia'ge	先加个
xian'jia'ni	先加你
xian'jia'shang	先加上
xian'jia'wo	先加我
xian'jia'xie	先加血
xian'jian'dan	先简单
xian'jian'mian	先见面
xian'jian'li	先建立
xian'jiao'le	先交了
xian'jiao'qian	先交钱
xian'jiao'ta	先脚踏
xian'jiao'ni	先教你
xian'jiao'wo	先教我
xian'jiao'jie	先叫姐
xian'jiao'ni	先叫你
xian'jiao'wo	先叫我
xian'jie'chu	先接触
xian'jie'shou	先接受
xian'jie'tu	先截图
xian'jie'dian	先借点
xian'jie'wo	先借我
xian'jin'a	先进啊
xian'jin'ba	先进吧
xian'jin'ban'ji'ti	先进班集体
xian'jin'lai	先进来
xian'jin'le	先进了
xian'jin'qu	先进区
xian'jin'qu	先进去
xian'jin'zu	先进组
xian'jiu'ye	先就业
xian'jue'ding	先决定
xian'kai'da	先开打
xian'kai'da	先开大
xian'kai'dian	先开店
xian'kai'le	先开了
xian'kan'jia	先砍价
xian'kan'ba	先看吧
xian'kan'dao	先看到
xian'kan'hao	先看好
xian'kan'huo	先看货
xian'kan'ka	先看卡
xian'kan'kan'na	先看看那
xian'kan'kan'ni	先看看你
xian'kan'kan'zai'shuo	先看看再说
xian'kan'ni	先看你
xian'kan'xia	先看下
xian'kan'yi'xia	先看一下
xian'kan'zhe	先看着
xian'kao'lv	先考虑
xian'ke'yi	先可以
xian'kong'zhe	先空着
xian'lai'ba	先来吧
xian'lai'de	先来的
xian'lai'le	先来了
xian'lai'wen'xun	先来闻讯
xian'lai'yi'ba	先来一把
xian'li'hun	先离婚
xian'li'kai	先离开
xian'li'a	先例啊
xian'li'ma	先例吗
xian'li'ye	先立业
xian'lian'xi	先联系
xian'lian'zhe	先连着
xian'liang'ci	先两次
xian'liao'hui	先聊会
xian'liao'liao	先聊聊
xian'liao'zhe	先聊着
xian'liao'jie	先了解
xian'liao'jie'xia	先了解下
xian'ling'zheng	先领证
xian'liu'zhe	先留着
xian'ma'de	先骂的
xian'ma'ren	先骂人
xian'mai'ba	先买吧
xian'mai'dian	先买点
xian'mai'fang	先买房
xian'mai'lai	先买来
xian'mai'le	先买了
xian'mai'ni	先买你
xian'mai'yi'jian	先买一件
xian'mai'zhe	先买着
xian'mang'ba	先忙吧
xian'mang'hui	先忙会
xian'mang'le	先忙了
xian'mian'di	先面的
xian'mian'shi	先面试
xian'miao'ta	先秒他
xian'na'dao	先拿到
xian'na'lai	先拿来
xian'ni'le	先你了
xian'nong'ba	先弄吧
xian'nong'si	先弄死
xian'pai'xia	先拍下
xian'qi'lai	先起来
xian'qian'hou'huo	先钱后货
xian'qian'zhe	先欠着
xian'qing'jia	先请假
xian'qu'xiao	先取消
xian'qu'ba	先去吧
xian'qu'da	先去打
xian'qu'de	先去的
xian'qu'ge	先去个
xian'qu'le	先去了
xian'qu'mang	先去忙
xian'qu'na	先去哪
xian'qu'na	先去那
xian'qu'tang	先去趟
xian'qu'ye	先去也
xian'que'ding	先确定
xian'rang'ni	先让你
xian'rang'ta'men	先让他们
xian'rang'ta	先让她
xian'rang'wo	先让我
xian'ren'ren	先忍忍
xian'ren'zhe	先忍着
xian'ren'wu	先任务
xian'ren'shi	先认识
xian'sa'huang	先撒谎
xian'sha'le	先杀了
xian'sha'shei	先杀谁
xian'sha'ta	先杀他
xian'sha'wo	先杀我
xian'sha'zhu	先杀主
xian'shan'le	先闪了
xian'shang'liang	先商量
xian'shang'ba	先上吧
xian'shang'ban	先上班
xian'shang'chuan	先上传
xian'shang'chuan	先上船
xian'shang'hao	先上号
xian'shang'ke	先上课
xian'shang'lai	先上来
xian'shang'le	先上了
xian'shang'qu	先上去
xian'shang'xian	先上线
xian'she'zhi	先设置
xian'shen'qing	先申请
xian'sheng'ming	先声明
xian'sheng'hao	先生好
xian'sheng'ji	先升级
xian'shi'hou	先时候
xian'shen'me	先什么
xian'shi'xi	先实习
xian'shi'yong	先使用
xian'shi'ying	先适应
xian'shi'pin	先视频
xian'shi'shi'ba	先试试吧
xian'shi'xia	先试下
xian'shi'yi'xia	先试一下
xian'shi'yong	先试用
xian'shou'cang	先收藏
xian'shou'dao	先收到
xian'shou'le	先收了
xian'shou'qian	先收钱
xian'shou'shi	先收拾
xian'shou'zhe	先收着
xian'shou'da	先手大
xian'shou'yi	先受益
xian'shu'xi	先熟悉
xian'shua'ba	先刷吧
xian'shua'bao	先刷爆
xian'shua'zhe	先刷这
xian'shua'bao	先耍宝
xian'shui'la	先睡啦
xian'shui'le	先睡了
xian'shuo'de	先说的
xian'shuo'hao	先说好
xian'shuo'hua	先说话
xian'shuo'ming	先说明
xian'shuo'shuo	先说说
xian'si'hou	先死后
xian'si'le	先死了
xian'tan'tan	先谈谈
xian'tan'zhe	先谈着
xian'ti'gong	先提供
xian'ting'ting	先听听
xian'tong'guo	先通过
xian'tong'yi	先同意
xian'tong'yi	先统一
xian'tou'zi	先投资
xian'tui'ta	先推塔
xian'tui'yi'xia	先推一下
xian'tui'chu	先退出
xian'tui'huo	先退货
xian'tui'le	先退了
xian'tui'ta	先退他
xian'tui'yi'xia	先退一下
xian'tui'zu	先退组
xian'wan'ba	先玩吧
xian'wan'de	先玩的
xian'wan'hui	先玩会
xian'wan'na	先玩呐
xian'wan'wan	先玩玩
xian'wan'zhe'ge	先玩这个
xian'wan'zhe	先玩着
xian'wen'zhu	先稳住
xian'wen'de	先问的
xian'wen'hao	先问好
xian'wen'ni	先问你
xian'wen'ta	先问他
xian'wen'wen	先问问
xian'wen'wen'ne	先问问呢
xian'wen'wo	先问我
xian'wen'xia	先问下
xian'wen'yi'xia	先问一下
xian'xi'ge'zao	先洗个澡
xian'xi'lian	先洗脸
xian'xi'xi	先洗洗
xian'xi'zao	先洗澡
xian'xia'ba	先下吧
xian'xia'dao	先下到
xian'xia'la	先下啦
xian'xia'lai	先下来
xian'xia'liao'a	先下了啊
xian'xia'lou	先下楼
xian'xia'qu	先下去
xian'xia'shou	先下手
xian'xia'xian	先下线
xian'xia'zai	先下载
xian'xian'zai	先现在
xian'xiang'hao	先想好
xian'xiang'xiang	先想想
xian'xiao'hao	先消耗
xian'xie'hui	先歇会
xian'xie'xie	先歇歇
xian'xie'zhe	先歇着
xian'xie'le	先写了
xian'xie'zhe	先写着
xian'xie'la	先谢啦
xian'xie'xie	先谢谢
xian'xie'xie'la	先谢谢啦
xian'xie'xie'ni	先谢谢你
xian'xiu'xi	先休息
xian'xue'xi	先学习
xian'xue'xue	先学学
xian'yan'jiu	先研究
xian'yan'de	先验的
xian'yan'hao	先验号
xian'yao'qiu	先要求
xian'yi'bu	先一步
xian'yi'qi	先一起
xian'you'dan	先有蛋
xian'you'shi	先有事
xian'yu'yue	先预约
xian'zan'shi	先暂时
xian'zhao'dao	先找到
xian'zhao'gong'zuo	先找工作
xian'zhao'hao	先找好
xian'zhao'ni	先找你
xian'zhao'ren	先找人
xian'zhao'zhao	先找找
xian'zhao'zhe	先找着
xian'zhe'me	先这么
xian'zhe'yang	先这样
xian'zheng'li	先整理
xian'zhi'fu	先支付
xian'zhi'dao	先知道
xian'zhu'ce	先注册
xian'zhu'ni	先祝你
xian'zhun'bei	先准备
xian'zi'xun	先咨询
xian'zi'ji	先自己
xian'zou'la	先走啦
xian'zu'dui	先组队
xian'zu'ren	先组人
xian'zuo'ba	先做吧
xian'zuo'dao	先做到
xian'zuo'fan	先做饭
xian'zuo'shi	先做事
xian'zuo'wan	先做完
xian'zuo'xia	先做下
xian'zuo'zuo	先做做
xian'zuo'xia	先坐下
xian'ling'dian'pu	仙灵店铺
xian'zi'a	仙子啊
xian'zi'a'ne	仙子啊呢
xian'hong'de	鲜红的
xian'hua'bing	鲜花饼
xian'hua'ka	鲜花卡
xian'hua'le	鲜花了
xian'hua'sheng'kai'de'cun'zhuang	鲜花盛开的村庄
xian'huo'de	鲜活的
xian'rou'bao	鲜肉包
xian'xue'de	鲜血的
xian'yan'de	鲜艳的
xian'yan'dian	鲜艳点
xian'yan'hao	鲜艳好
xian'dan'huang	咸蛋黄
xian'si'wo'le	咸死我了
xian'jie'chu	衔接处
xian'jie'dian	衔接点
xian'jie'hao	衔接好
xian'bu'liao	闲不了
xian'bu'xia	闲不下
xian'bu'zhao	闲不着
xian'che'dan	闲扯淡
xian'dai'zhe	闲呆着
xian'de'huang	闲得慌
xian'de'mei'shi	闲得没事
xian'de'a	闲的啊
xian'de'ba	闲的吧
xian'de'dan'teng	闲的蛋疼
xian'de'hen	闲的很
xian'de'huang	闲的慌
xian'de'mei'shi	闲的没事
xian'de'mei'shi'gan	闲的没事干
xian'de'nan'shou	闲的难受
xian'de'shi'hou	闲的时候
xian'de'wo	闲的我
xian'de'ya	闲的呀
xian'de'yao'si	闲的要死
xian'de'bai	闲的呗
xian'duo'le	闲多了
xian'hua'le	闲话了
xian'liao'ba	闲聊吧
xian'liao'de	闲聊的
xian'liao'hui	闲聊会
xian'le'liao	闲了聊
xian'mei'shi	闲没事
xian'qing'ya'zhi	闲情雅致
xian'shi'jian	闲时间
xian'si'le	闲死了
xian'si'ni	闲死你
xian'si'wo'le	闲死我了
xian'xia'lai'le	闲下来了
xian'yi'hui	闲一会
xian'zhi'ba	闲置吧
xian'zhe'a	闲着啊
xian'zhe'dan'teng	闲着蛋疼
xian'zhe'de	闲着的
xian'zhe'li	闲着里
xian'zhe'le	闲着了
xian'zhe'ne	闲着呢
xian'bu'gou	嫌不够
xian'bu'hao	嫌不好
xian'bu'xian	嫌不嫌
xian'duo'le	嫌多了
xian'ni'fan	嫌你烦
xian'qi'a	嫌弃啊
xian'qi'de	嫌弃的
xian'qi'ni	嫌弃你
xian'qi'ni'de	嫌弃你的
xian'qi'ta	嫌弃他
xian'qi'ta	嫌弃她
xian'qian'duo	嫌钱多
xian'ren'jia	嫌人家
xian'wo'chou	嫌我丑
xian'wo'de	嫌我的
xian'wo'lao	嫌我老
xian'wo'men	嫌我们
xian'wo'pang	嫌我胖
xian'zhe'li	嫌这里
xian'bai'le	显摆了
xian'bai'sha	显摆啥
xian'bu'chu	显不出
xian'bu'chu'lai	显不出来
xian'bu'xian	显不显
xian'chu'lai	显出来
xian'chu'le	显出了
xian'chu'zhe	显出这
xian'de'bai	显得白
xian'de'dan'teng	显得蛋疼
xian'de'hen	显得很
xian'de'mei'shi	显得没事
xian'de'nan'shou	显得难受
xian'de'ni	显得你
xian'du'zi	显肚子
xian'fu'se	显肤色
xian'ka'ba	显卡吧
xian'qi'zhi	显气质
xian'shen'cai	显身材
xian'shi'a	显示啊
xian'shi'ba	显示吧
xian'shi'bu	显示不
xian'shi'bu'chu'lai	显示不出来
xian'shi'bu'liao	显示不了
xian'shi'dian	显示点
xian'shi'le	显示了
xian'shi'ma	显示吗
xian'shi'me	显示么
xian'shi'ne	显示呢
xian'shi'shen'me	显示什么
xian'shi'wo	显示我
xian'shi'you	显示有
xian'shi'zhe	显示着
xian'shou'a	显瘦啊
xian'shou'de	显瘦的
xian'shou'le	显瘦了
xian'xian'zai	显现在
xian'yan'de	显眼的
xian'da'da	险大大
xian'bang'nin	现帮您
xian'bie'ti	现别提
xian'bu'chi	现不吃
xian'bu'dao	现不到
xian'bu'ding	现不定
xian'bu'gei	现不给
xian'bu'gen	现不跟
xian'bu'hao	现不好
xian'bu'jiao	现不叫
xian'bu'shi	现不是
xian'bu'shou	现不受
xian'bu'tui	现不退
xian'chang'ba	现场吧
xian'chang'cha'kan	现场查勘
xian'chang'cha'kan	现场查看
xian'chang'kan	现场勘
xian'chang'kan'cha	现场勘查
xian'chang'kan'cha	现场勘察
xian'chang'kan	现场看
xian'chang'le	现场了
xian'chang'que'ren	现场确认
xian'chang'shi	现场时
xian'chang'shi'ji	现场实际
xian'cheng'de	现成的
xian'cheng'de'ma	现成的吗
xian'chu'lai	现出来
xian'cun'de	现存的
xian'dan'wei	现单位
xian'deng'ni	现等你
xian'duo'le	现多了
xian'fang'ni'na	现房你那
xian'gai'ming	现改名
xian'gou'mai	现购买
xian'hao'le	现好了
xian'huan'ge	现换个
xian'hui'fu	现回复
xian'huo'ba	现货吧
xian'huo'de	现货的
xian'huo'le	现货了
xian'jia'shang	现加上
xian'jiao'yi	现交易
xian'jie'shou	现接受
xian'jie'tu	现截图
xian'jie'he	现结合
xian'jie'shao	现介绍
xian'jin'a	现金啊
xian'jin'ba	现金吧
xian'jin'lai	现金来
xian'jin'le	现金了
xian'jin'ma	现金吗
xian'jin'ne	现金呢
xian'ju'zhu'di	现居住地
xian'jue'ding	现决定
xian'kai'dian	现开店
xian'kan'zhe	现看着
xian'lai'ba	现来吧
xian'liang'ci	现两次
xian'le'liao	现了聊
xian'mai'de	现卖的
xian'mu'qian	现目前
xian'nv'you	现女友
xian'pai'de	现拍的
xian'qing'jia	现请假
xian'ren'wu	现任务
xian'she'gong	现社工
xian'shen'qing	现申请
xian'shen'ba	现身吧
xian'shen'le	现身了
xian'shen'me	现什么
xian'shi'a	现实啊
xian'shi'ba	现实吧
xian'shi'de'she'hui	现实的社会
xian'shi'hen'can'ku	现实很残酷
xian'shi'hen'gu'gan	现实很骨感
xian'shi'jiu'shi	现实就是
xian'shi'li	现实力
xian'shi'le	现实了
xian'shi'ma	现实吗
xian'shi'ne	现实呢
xian'shi'ni	现实你
xian'shi'sheng'huo'zhong	现实生活中
xian'shi'shi'can'ku'de	现实是残酷的
xian'shi'wo	现实我
xian'shi'xi	现实习
xian'shi'xia	现实下
xian'shi'ya	现实呀
xian'shi'you	现实有
xian'shou'dao	现收到
xian'ti'chu	现提出
xian'ti'gong	现提供
xian'tong'zhi	现通知
xian'tui'chu	现推出
xian'tui'huo	现退货
xian'xing'fu	现形符
xian'xue'de	现学的
xian'yi'jin	现已今
xian'yong'de	现用的
xian'you'de	现有的
xian'you'shi	现有事
xian'zai'a	现在阿
xian'zai'ba	现在吧
xian'zai'ban	现在办
xian'zai'bie'da	现在别打
xian'zai'bu'shang	现在补上
xian'zai'bu'shang'le	现在补上了
xian'zai'bu'da	现在不打
xian'zai'bu'e	现在不饿
xian'zai'bu'gan'le	现在不干了
xian'zai'bu'hao	现在不好
xian'zai'bu'hui	现在不会
xian'zai'bu'hui'liao	现在不会聊
xian'zai'bu'ji	现在不急
xian'zai'bu'ka	现在不卡
xian'zai'bu'kan	现在不看
xian'zai'bu'liao	现在不了
xian'zai'bu'mai	现在不买
xian'zai'bu'mai	现在不卖
xian'zai'bu'mang'a	现在不忙啊
xian'zai'bu'mang'le	现在不忙了
xian'zai'bu'shang	现在不上
xian'zai'bu'shang'le	现在不上了
xian'zai'bu'shi'le	现在不是了
xian'zai'bu'shuo	现在不说
xian'zai'bu'wan'le	现在不玩了
xian'zai'bu'wan'le	现在不完了
xian'zai'bu'xiang	现在不想
xian'zai'bu'xiang'le	现在不想了
xian'zai'bu'xing'a	现在不行啊
xian'zai'bu'xing'le	现在不行了
xian'zai'bu'yao	现在不要
xian'zai'bu'zai	现在不在
xian'zai'bu'zuo	现在不做
xian'zai'cai'ming'bai	现在才明白
xian'zai'cai'shuo	现在才说
xian'zai'cheng	现在成
xian'zai'chi	现在吃
xian'zai'chong	现在充
xian'zai'chong	现在冲
xian'zai'chu	现在出
xian'zai'chu'lai	现在出来
xian'zai'chuan	现在穿
xian'zai'da	现在打
xian'zai'da'ba	现在打吧
xian'zai'da'le	现在大了
xian'zai'dan'ji	现在淡季
xian'zai'dao	现在到
xian'zai'de'hua	现在的话
xian'zai'de'ne	现在的呢
xian'zai'de'ni	现在的你
xian'zai'de'nv'ren	现在的女人
xian'zai'de'ren	现在的人
xian'zai'de'shi	现在的事
xian'zai'de'shi	现在的是
xian'zai'de'ta	现在的他
xian'zai'ding	现在定
xian'zai'ding	现在订
xian'zai'dou'you	现在都有
xian'zai'dou'zai	现在都在
xian'zai'fa	现在发
xian'zai'fang'bian'ma	现在方便吗
xian'zai'fu	现在复
xian'zai'fu	现在付
xian'zai'gai	现在该
xian'zai'gai	现在改
xian'zai'gan	现在干
xian'zai'gan'ma	现在干嘛
xian'zai'gan'ma'le	现在干嘛了
xian'zai'gan'ma'na	现在干嘛哪
xian'zai'gan'ma'na	现在干嘛呐
xian'zai'gan'ma'ne	现在干嘛呢
xian'zai'gan'sha'ne	现在干啥呢
xian'zai'gan'shen'me	现在干什么
xian'zai'gan'shen'me'ne	现在干什么呢
xian'zai'gan	现在敢
xian'zai'gong'zi	现在工资
xian'zai'guo'de	现在过得
xian'zai'guo'de	现在过的
xian'zai'hai'zi	现在孩子
xian'zai'hao'dian	现在好点
xian'zai'hao'dian'mei	现在好点没
xian'zai'hao'duo'le	现在好多了
xian'zai'hao'la	现在好啦
xian'zai'hao'li	现在好礼
xian'zai'hao'le	现在好了
xian'zai'hao'ma	现在好吗
xian'zai'hao'xiang	现在好像
xian'zai'hao'li	现在号里
xian'zai'hao'ma	现在号码
xian'zai'he	现在喝
xian'zai'huan'hao'ma	现在还好吗
xian'zai'huan'mei'dao	现在还没到
xian'zai'huan'mei'hao	现在还没好
xian'zai'huan'teng'ma	现在还疼吗
xian'zai'huan'xiao	现在还小
xian'zai'huan'you'ma	现在还有吗
xian'zai'huan'zai	现在还在
xian'zai'huan'zai'ma	现在还在吗
xian'zai'huan'zao	现在还早
xian'zai'huan'hao'ba	现在换号吧
xian'zai'huan'hao'ma	现在换号码
xian'zai'huan'mei'dao	现在换没到
xian'zai'huan'mei'hao	现在换没好
xian'zai'huan'hang	现在换行
xian'zai'huan'you'ma	现在换有吗
xian'zai'huan'zai'ma	现在换在吗
xian'zai'hui'lai	现在回来
xian'zai'hui	现在会
xian'zai'huo	现在或
xian'zai'ji	现在急
xian'zai'ji'dian'le	现在几点了
xian'zai'jia	现在加
xian'zai'jian	现在见
xian'zai'jian	现在建
xian'zai'jiao	现在叫
xian'zai'jie	现在结
xian'zai'jin	现在进
xian'zai'jiu'cha	现在就差
xian'zai'jiu'chi	现在就吃
xian'zai'jiu'da	现在就打
xian'zai'jiu'gai	现在就该
xian'zai'jiu'gai	现在就改
xian'zai'jiu'hang	现在就航
xian'zai'jiu'lai	现在就来
xian'zai'jiu'mai	现在就买
xian'zai'jiu'pai	现在就拍
xian'zai'jiu'qu	现在就去
xian'zai'jiu'sheng	现在就剩
xian'zai'jiu'shui	现在就睡
xian'zai'jiu'shuo	现在就说
xian'zai'jiu'xiang	现在就想
xian'zai'jiu'hang	现在就行
xian'zai'jiu'you	现在就有
xian'zai'jiu'zai	现在就在
xian'zai'ka	现在卡
xian'zai'kai	现在开
xian'zai'ke'hao	现在可好
xian'zai'ke'neng	现在可能
xian'zai'ke'yi	现在可以
xian'zai'ke'yi'le	现在可以了
xian'zai'la	现在啦
xian'zai'lai	现在来
xian'zai'lai'ma	现在来吗
xian'zai'lei	现在累
xian'zai'liao	现在聊
xian'zai'ma	现在吗
xian'zai'mai'le	现在买了
xian'zai'mai	现在卖
xian'zai'mang'ma	现在忙吗
xian'zai'mang'sha'ne	现在忙啥呢
xian'zai'me	现在么
xian'zai'mei'huo	现在没货
xian'zai'mei'kong	现在没空
xian'zai'mei'shi	现在没事
xian'zai'mei'shi'la	现在没事啦
xian'zai'mei'shi'le	现在没事了
xian'zai'mei'you'a	现在没有啊
xian'zai'mei'you'le	现在没有了
xian'zai'mei'zai	现在没在
xian'zai'na	现在哪
xian'zai'na'li	现在哪里
xian'zai'na'ne	现在哪呢
xian'zai'na'you	现在哪有
xian'zai'na	现在那
xian'zai'na'li	现在那里
xian'zai'ni'a	现在你啊
xian'zai'ni'men	现在你们
xian'zai'pai	现在拍
xian'zai'qi	现在起
xian'zai'qu'a	现在去啊
xian'zai'qu'ba	现在去吧
xian'zai'qu'bu'liao	现在去不了
xian'zai'qu'na	现在去哪
xian'zai'ren'shao	现在人少
xian'zai'sha	现在杀
xian'zai'sha	现在啥
xian'zai'shen'me	现在什么
xian'zai'shi'zai	现在实在
xian'zai'shi'bu'shi	现在是不是
xian'zai'shi'le	现在是了
xian'zai'shi'zai	现在是在
xian'zai'shi'shi	现在试试
xian'zai'shua	现在刷
xian'zai'shui	现在睡
xian'zai'shuo	现在说
xian'zai'shuo'bu'qing	现在说不清
xian'zai'si	现在死
xian'zai'ta'men	现在他们
xian'zai'ting	现在听
xian'zai'ting	现在挺
xian'zai'tui	现在腿
xian'zai'tui	现在退
xian'zai'wan	现在玩
xian'zai'wan'ma	现在玩吗
xian'zai'wan'liao	现在完了
xian'zai'wan'le	现在晚了
xian'zai'wei'zhi	现在为止
xian'zai'wen	现在问
xian'zai'xi	现在洗
xian'zai'xia'dan	现在下单
xian'zai'xiang'xiang	现在想想
xian'zai'xie	现在写
xian'zai'xin	现在心
xian'zai'hang	现在行
xian'zai'xing'le	现在行了
xian'zai'ya	现在呀
xian'zai'yao'ma	现在要吗
xian'zai'ye'bu'wan	现在也不晚
xian'zai'you'dian	现在有点
xian'zai'you'dian'mang	现在有点忙
xian'zai'you'duo'shao	现在有多少
xian'zai'you'ge	现在有个
xian'zai'you'huo'ma	现在有货吗
xian'zai'you'kong'ma	现在有空吗
xian'zai'you'le	现在有了
xian'zai'you'mei'you	现在有没有
xian'zai'you'ren	现在有人
xian'zai'you'shi'jian	现在有时间
xian'zai'you'shi'jian'ma	现在有时间吗
xian'zai'you'shen'me	现在有什么
xian'zai'you'shuo	现在又说
xian'zai'zai'gan'ma	现在在干嘛
xian'zai'zai'gan'ma	现在在干吗
xian'zai'zai'gan'ma'ne	现在在干吗呢
xian'zai'zai'jia'ne	现在在家呢
xian'zai'zai'le	现在在了
xian'zai'zai'mang	现在在忙
xian'zai'zai'na	现在在哪
xian'zai'zai'na'a	现在在哪啊
xian'zai'zai'na'er	现在在哪儿
xian'zai'zai'na'li	现在在哪里
xian'zai'zai'na'li'a	现在在哪里啊
xian'zai'zai'na'le	现在在哪了
xian'zai'zai'na'ne	现在在哪呢
xian'zai'zai'na'li	现在在那里
xian'zai'zai'zuo	现在在做
xian'zai'zen'me	现在怎么
xian'zai'zhao	现在找
xian'zai'zhao	现在照
xian'zai'zhe'ge	现在这个
xian'zai'zhe'li	现在这里
xian'zai'zheng'shi	现在正是
xian'zai'zhi'dao'le	现在知道了
xian'zai'zhi'yao	现在只要
xian'zai'zuo'shen'me	现在做什么
xian'zhao'de	现照的
xian'zhi'ding	现制定
xian'zhu'zhi	现住址
xian'chu'de	献出的
xian'chu'le	献出了
xian'chu'qu	献出去
